	id сделки	брокер	тикер	валюта	тип сделки	цена покупки	цель 1	цель 2	цель 3	стоп	дата покупки	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	ошибка
197	197	-1001735653757	#CHMF	валюта	L	цена покупки	757	77	787	721	2022-08-01 07:23:42+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
198	198	-1001735653757	#POLY	валюта	L	цена покупки	277	8	288	263	2022-08-01 07:46:45+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
199	199	-1001735653757	#GMKN	валюта	L	цена покупки	6400	16700	1705	15620	2022-08-01 07:52:05+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
201	201	-1001735653757	#RASP	валюта	L	цена покупки	28	89	299	261	2022-08-01 11:28:52+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
202	202	-1001735653757	#PM	валюта	L	цена покупки	99,42	101,38	10,	94,64	2022-08-01 13:45:02+00:00	2022-08-01 20:16:20+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
203	203	-1001735653757	#WBA	валюта	L	цена покупки	40,62	41,43	42,2	38,6	2022-08-01 13:53:19+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
204	204	-1001735653757	#TPIC	валюта	L	цена покупки	6,4	16,61	17,08	14,96	2022-08-01 14:33:49+00:00	2022-08-02 14:12:32+00:00	2022-08-02 14:46:16+00:00	2022-08-02 15:45:43+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
205	205	-1001735653757	#CLSK	валюта	L	цена покупки	4,39	4,51	4,64	4,07	2022-08-01 17:25:25+00:00	2022-08-01 18:58:59+00:00	2022-08-02 13:47:05+00:00	2022-08-02 16:49:20+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
209	209	-1001735653757	#ALRS	валюта	L	цена покупки	66,28	67,53	68,71	63	2022-08-02 07:18:23+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
210	210	-1001735653757	#MGNT	валюта	S	цена покупки	4684	4590	4494	4930	2022-08-02 07:23:33+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
211	211	-1001735653757	#TSLA	валюта	S	цена покупки	860	84	825	904	2022-08-02 12:49:20+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
212	212	-1001735653757	#BIDU	валюта	S	цена покупки	28	15	122	134,50	2022-08-02 13:28:34+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
214	214	-1001735653757	#TRIP	валюта	L	цена покупки	9,58	19,96	20,5	18,62	2022-08-02 13:52:35+00:00	2022-08-02 16:22:24+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
220	220	-1001735653757	#SNAP	валюта	L	цена покупки	0,7	10,37	10,57	9,68	2022-08-02 16:59:50+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
